TICKER,DURATION,PERIODEND,INDEXNAME,VALUE,CUMULATIVEVALUE,COMMENT,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
MELI,Mid-month,16/12/20,Mercado Libre Transaction Index,1.686419048,50.33754988,,15:00.0,1.038462832,
MELI,Mid-month,16/01/21,Mercado Libre Transaction Index,1.35232299,53.13435882,,15:00.0,0.999337842,
MELI,Mid-month,16/02/21,Mercado Libre Transaction Index,1.352399037,55.91668422,,15:00.0,0.924136855,
MELI,Mid-month,16/03/21,Mercado Libre Transaction Index,1.429608171,58.44521624,,15:00.0,0.93749704,
MELI,Mid-month,16/04/21,Mercado Libre Transaction Index,1.443981007,61.34572914,,15:00.0,0.681817414,
MELI,Mid-month,16/05/21,Mercado Libre Transaction Index,1.530845706,64.31077213,,15:00.0,0.258791135,
MELI,Mid-month,16/06/21,Mercado Libre Transaction Index,1.551421881,67.45959688,,15:00.0,0.227196191,
MELI,Mid-month,16/07/21,Mercado Libre Transaction Index,1.534469727,70.47417862,,15:00.0,0.14531418,
MELI,Mid-month,16/08/21,Mercado Libre Transaction Index,1.579492825,73.64570154,,15:00.0,0.16027954,
MELI,Mid-month,16/09/21,Mercado Libre Transaction Index,1.569602914,76.84352907,,15:00.0,0.487869555,
MELI,Mid-month,16/10/21,Mercado Libre Transaction Index,1.564648539,79.89269224,,15:00.0,0.234686967,
MELI,Mid-month,16/11/21,Mercado Libre Transaction Index,1.721843561,83.20975235,,15:00.0,0.255307963,
MELI,Mid-month,16/12/21,Mercado Libre Transaction Index,1.951783064,86.96103923,,15:00.0,0.157353545,
MELI,Mid-month,16/01/22,Mercado Libre Transaction Index,1.596789245,90.25798369,,15:00.0,0.180775049,
MELI,Mid-month,16/02/22,Mercado Libre Transaction Index,1.651562013,93.56394811,,15:00.0,0.221209102,
MELI,Mid-month,16/03/22,Mercado Libre Transaction Index,1.651698453,96.50688376,,15:00.0,0.155350457,
MELI,Mid-month,16/04/22,Mercado Libre Transaction Index,1.545216085,99.72469647,,15:00.0,0.070108317,
MELI,Mid-month,16/05/22,Mercado Libre Transaction Index,1.744823762,102.9152687,,15:00.0,0.139777677,
MELI,Mid-month,16/06/22,Mercado Libre Transaction Index,1.80495794,106.5260026,,15:00.0,0.163421737,
MELI,Mid-month,16/07/22,Mercado Libre Transaction Index,1.705723597,109.8280095,,15:00.0,0.111604594,
MELI,Mid-month,16/08/22,Mercado Libre Transaction Index,1.767425221,113.2809786,,15:00.0,0.118982748,
MELI,Mid-month,16/09/22,Mercado Libre Transaction Index,1.697759146,116.7538647,,15:00.0,0.081648824,
MELI,Mid-month,16/10/22,Mercado Libre Transaction Index,1.755098462,120.1564219,,15:00.0,0.121720577,
MELI,Mid-month,16/11/22,Mercado Libre Transaction Index,1.803083267,123.7687284,,15:00.0,0.047181816,
MELI,Mid-month,16/12/22,Mercado Libre Transaction Index,2.18804379,128.0151532,,15:00.0,0.121048661,
MELI,Mid-month,16/01/23,Mercado Libre Transaction Index,1.930397825,131.9810104,,15:00.0,0.208924616,
MELI,Mid-month,16/02/23,Mercado Libre Transaction Index,1.966130304,135.9486508,,15:00.0,0.190467139,
MELI,Mid-month,16/03/23,Mercado Libre Transaction Index,2.043791176,139.4645238,,15:00.0,0.237387595,
MELI,Mid-month,16/04/23,Mercado Libre Transaction Index,1.843320203,143.2245065,,15:00.0,0.192920667,
MELI,Mid-month,16/05/23,Mercado Libre Transaction Index,2.058049074,147.1137894,,15:00.0,0.179516876,
MELI,Mid-month,16/06/23,Mercado Libre Transaction Index,2.172274066,151.4386447,,15:00.0,0.20350398,
MELI,Mid-month,16/07/23,Mercado Libre Transaction Index,2.154521336,155.5352381,,15:00.0,0.263112816,
MELI,Mid-month,16/08/23,Mercado Libre Transaction Index,2.288464179,160.0022998,,15:00.0,0.294801133,
MELI,Mid-month,16/09/23,Mercado Libre Transaction Index,2.122131259,164.3372059,,15:00.0,0.249960139,
